,show_id,type,title,day,month,year,duration,duration_unit,rating,director,cast,country,date_added,listed_in,description
3002,80221942,TV Show,Age Gap Love,12,7,2019,1,Season,TV-MA,,Fay Ripley,United Kingdom,2019-07-12,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin."
3003,80221943,TV Show,Ainsley Eats the Streets,12,7,2019,1,Season,TV-PG,,Ainsley Harriott,United Kingdom,2019-07-12,"British TV Shows, Docuseries, International TV Shows",Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.
3005,80215147,TV Show,Blown Away,12,7,2019,1,Season,TV-PG,,,Canada,2019-07-12,"International TV Shows, Reality TV","Ten master artists turn up the heat in glassblowing sculpture challenges for the chance to win $60,000 in prizes and the title of champion."
3007,80222071,TV Show,Encounters with Evil,12,7,2019,1,Season,TV-14,,Richard Lintern,United Kingdom,2019-07-12,"British TV Shows, Crime TV Shows, Docuseries","This documentary series tries to get at the root of some of the most heinous crimes ever committed by deranged, cold-blooded criminals."
3008,80210245,TV Show,Extreme Engagement,12,7,2019,1,Season,TV-MA,,"Tim Noonan, PJ Madam",,2019-07-12,"International TV Shows, Reality TV",An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?
3009,80224312,TV Show,History's Greatest Hoaxes,12,7,2019,1,Season,TV-PG,,,Australia,2019-07-12,"British TV Shows, Docuseries","Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history."
3011,80191236,TV Show,Luis Miguel - The Series,12,7,2019,1,Season,TV-MA,,"Diego Boneta, Juan Pablo Zurita, Camila Sodi, Óscar Jaenada, Izan Llunas, Paulina Dávila, Martín Bello, Anna Favella, César Bordón, Vanessa Bauche",Mexico,2019-07-12,"International TV Shows, Spanish-Language TV Shows, TV Dramas","This series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades."
3012,80224314,TV Show,Mega Food,12,7,2019,1,Season,TV-G,,,United Kingdom,2019-07-12,"British TV Shows, Docuseries, International TV Shows","Visiting the busiest kitchens in the world, this reality series focuses on large-scale food production – and the people who make it happen."
3013,80224184,TV Show,MegaTruckers,12,7,2019,1,Season,TV-PG,,,Australia,2019-07-12,Reality TV,"This reality ride-along offers a glimpse into the can-do, high-stakes world of big rig drivers who haul massive loads of cargo across Australia."
3014,80224602,TV Show,Money for Nothing,12,7,2019,1,Season,TV-PG,,,,2019-07-12,"British TV Shows, International TV Shows, Reality TV","Aided by designers and craftspeople, entrepreneur Sarah Moore rescues items bound for the garbage dump and turns them into valuable, unique objects."
